xCell2_labels	all_labels	ont
stem cell	Stem cells	CL:0000034
innate lymphoid cells	ILC	CL:0001065
stromal cell	Stromal cells	CL:0000499
Regulatory NK cells	Regulatory NK cells;Regulatory_NK_cells	NA
Transitional memory T-helpers	Transitional_memory_T_helpers;Transitional memory T-helpers	NA
preadipocyte	Preadipocytes	CL:0002334
neuron	Neurons	CL:0000540
unswitched memory B cell	Non-switched memory B-cells;B NSM;Non_switched_memory_B_cells	CL:0000970
class switched memory B cell	Class-switched memory B-cells;B SM;Class_switched_memory_B_cells	CL:0000972
exhausted B cell	Exhausted B-cells;B Ex	NA
memory B cell	Memory B-cells;B Memory;B cells memory;Memory_B_cells;B.Memory	CL:0000787
CD27neg memory B-cells	CD27neg memory B-cells;CD27neg_Memory_B_cells	NA
naive B cell	naive B-cells;B Naive;Naive_B_cells;B cells naive;B cells na•ve;B cells, naive;B.Naive	CL:0000788
plasma cell	Plasma cells;Plasma_B_cells;Plasma-B-cells;Plasma cell	CL:0000786
Non plasma B-cells	Non plasma B-cells;Non_plasma_B_cells;Non-plasma-B-cells	NA
Non plasmablasts	Non plasmablasts;Non_plasmablasts	NA
plasmablast	Plasmablasts;Plasmablast	CL:0000980
pro-B cell	pro B-cells;B cells, pro	CL:0000826
"CD4-positive, alpha-beta memory T cell"	CD4+ memory T-cells;T CD4 Memory;T.CD4.Memory	CL:0000897
"naive thymus-derived CD4-positive, alpha-beta T cell"	CD4+ naive T-cells;T CD4 Naive;T cells CD4 naive;T cells CD4 na•ve;Naive CD4+ T cells;Naive_CD4_T_cells;T.CD4.Naive	CL:0000895
"central memory CD4-positive, alpha-beta T cell"	CD4+ Tcm	CL:0000904
"effector memory CD4-positive, alpha-beta T cell"	CD4+ Tem;Effector/Memory CD4+ T cells	CL:0000905
CD4+ Tte	CD4+ Tte;T CD4 TE	NA
gamma-delta T cell	Tgd cells;T gd;gd_T_Cells;gd_T_cells;gd-T-Cells;T cells gamma delta;Gammadelta_Tcells;Tgd	CL:0000798
T gd Vd2	T gd Vd2	NA
T gd non-Vd2	T gd non-Vd2	NA
Naive T-helpers	Naive T-helpers;Naive_T_helpers	NA
